"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
154,11.4778,7.49966,-0.882264,7.49966,0,1,1.66361e-5,0.999936
155,11.4778,7.49972,-0.882279,7.49972,0,1,1.37985e-5,0.999947
156,11.4778,7.49977,-0.882292,7.49977,0,1,1.14449e-5,0.999956
157,11.4778,7.49981,-0.882302,7.49981,0,1,9.49283e-6,0.999964
158,11.4778,7.49984,-0.882311,7.49984,0,1,7.87373e-6,0.99997
159,11.4778,7.49987,-0.882318,7.49987,0,1,6.53079e-6,0.999975
160,11.4778,7.49989,-0.882324,7.49989,0,1,5.41691e-6,0.999979
161,11.4778,7.49991,-0.882329,7.49991,0,1,4.49302e-6,0.999983
162,11.4778,7.49992,-0.882333,7.49992,0,1,3.72671e-6,0.999986
163,11.4778,7.49994,-0.882336,7.49994,0,1,3.09109e-6,0.999988
164,11.4779,7.49995,-0.882339,7.49995,0,1,2.56389e-6,0.99999
165,11.4779,7.49996,-0.882342,7.49996,0,1,2.1266e-6,0.999992
166,11.4779,7.49996,-0.882344,7.49996,0,1,1.76389e-6,0.999993
167,11.4779,7.49997,-0.882345,7.49997,0,1,1.46305e-6,0.999994
168,11.4779,7.49998,-0.882346,7.49998,0,1,1.21351e-6,0.999995
169,11.4779,7.49998,-0.882348,7.49998,0,1,1.00654e-6,0.999996
170,11.4779,7.49998,-0.882348,7.49998,0,1,8.34868e-7,0.999997
171,11.4779,7.49999,-0.882349,7.49999,0,1,6.92475e-7,0.999997
172,11.4779,7.49999,-0.88235,7.49999,0,1,5.74368e-7,0.999998
173,11.4779,7.49999,-0.88235,7.49999,0,1,4.76405e-7,0.999998
174,11.4779,7.49999,-0.882351,7.49999,0,1,3.9515e-7,0.999998
175,11.4779,7.49999,-0.882351,7.49999,0,1,3.27755e-7,0.999999
176,11.4779,7.49999,-0.882351,7.49999,0,1,2.7186e-7,0.999999
177,11.4779,7.5,-0.882352,7.5,0,1,2.25498e-7,0.999999
178,11.4779,7.5,-0.882352,7.5,0,1,1.87045e-7,0.999999
179,11.4779,7.5,-0.882352,7.5,0,1,1.5515e-7,0.999999
180,11.4779,7.5,-0.882352,7.5,0,1,1.28693e-7,1
181,11.4779,7.5,-0.882352,7.5,0,1,1.06748e-7,1
182,11.4779,7.5,-0.882352,7.5,0,1,8.85448e-8,1
183,11.4779,7.5,-0.882353,7.5,0,1,7.3446e-8,1
184,11.4779,7.5,-0.882353,7.5,0,1,6.09221e-8,1
185,11.4779,7.5,-0.882353,7.5,0,1,5.05337e-8,1
186,11.4779,7.5,-0.882353,7.5,0,1,4.19168e-8,1
187,11.4779,7.5,-0.882353,7.5,0,1,3.47691e-8,1
188,11.4779,7.5,-0.882353,7.5,0,1,2.88402e-8,1
189,11.4779,7.5,-0.882353,7.5,0,1,2.39223e-8,1
190,11.4779,7.5,-0.882353,7.5,0,1,1.9843e-8,1
191,11.4779,7.5,-0.882353,7.5,0,1,1.64594e-8,1
192,11.4779,7.5,-0.882353,7.5,0,1,1.36527e-8,1
193,11.4779,7.5,-0.882353,7.5,0,1,1.13247e-8,1
194,11.4779,7.5,-0.882353,7.5,0,1,9.39358e-9,1
195,11.4779,7.5,-0.882353,7.5,0,1,7.79193e-9,1
196,11.4779,7.5,-0.882353,7.5,0,1,6.46441e-9,1
197,11.4779,7.5,-0.882353,7.5,0,1,5.36478e-9,1
198,11.4779,7.5,-0.882353,7.5,0,1,4.45407e-9,1
199,11.4779,7.5,-0.882353,7.5,0,1,3.69777e-9,1
200,11.4779,7.5,-0.882353,7.5,0,1,3.07082e-9,1
200,11.4779,7.5,-0.882353,7.5,1,1,3.07082e-9,1
200,11.4779,7.5,-0.882353,7.5,1,1,3.07044e-9,1
200,11.4779,7.5,-0.882353,7.5,1,0,3.07044e-9,1
201,12.5289,8.51956,0.16865,6.48044,1,0,-0.0690815,1.01456
202,13.5649,9.4976,1.20472,5.5024,1,0,0.0142967,0.932256
