"time","IAE_1.y","IAE_2.y","IE1.y","IE2.y","r_11.y","r_22.y","y_11.y","y_22.y"
291,14,0.667506,4.66667,2.20952e-16,1,0,1,4.44089e-16
292,14,0.667506,4.66667,2.40795e-16,1,0,1,0
293,14,0.667506,4.66667,2.30956e-16,1,0,1,0
294,14,0.667506,4.66667,2.59959e-16,1,0,1,-4.44089e-16
295,14,0.667506,4.66667,2.85169e-16,1,0,1,0
296,14,0.667506,4.66667,2.7171e-16,1,0,1,0
297,14,0.667506,4.66667,2.22924e-16,1,0,1,0
298,14,0.667506,4.66667,1.89806e-16,1,0,1,0
299,14,0.667506,4.66667,2.06463e-16,1,0,1,0
300,14,0.667506,4.66667,2.22336e-16,1,0,1,0
300,14,0.667506,4.66667,2.22336e-16,1,1,1,0
300,14,0.667506,4.66667,3.66368e-12,1,1,1,1.03433e-11
300,14,0.667506,4.66667,3.66368e-12,0,1,1,1.03433e-11
301,16.3998,0.944872,2.26689,0.271091,0,1,1.77066,1.0334
302,17.3381,0.987287,1.32858,0.228676,0,1,0.426772,1.0272
303,17.6357,1,1.03097,0.215959,0,1,0.240562,1.00363
304,17.8614,1.00111,0.80531,0.21485,0,1,0.2107,0.999986
305,18.0527,1.00121,0.614013,0.21495,0,1,0.170648,0.999919
306,18.203,1.00125,0.463705,0.21499,0,1,0.131011,0.999987
307,18.3173,1.00126,0.349357,0.214994,0,1,0.0990493,1
308,18.4036,1.00126,0.263079,0.214994,0,1,0.0746397,1
309,18.4686,1.00126,0.198088,0.214994,0,1,0.0562093,1
310,18.5175,1.00126,0.149149,0.214994,0,1,0.0423238,1
311,18.5544,1.00126,0.1123,0.214994,0,1,0.0318674,1
312,18.5821,1.00126,0.084555,0.214994,0,1,0.0239942,1
313,18.603,1.00126,0.0636648,0.214994,0,1,0.0180662,1
314,18.6187,1.00126,0.0479358,0.214994,0,1,0.0136027,1
315,18.6306,1.00126,0.0360928,0.214994,0,1,0.010242,1
316,18.6395,1.00126,0.0271757,0.214994,0,1,0.00771164,1
317,18.6462,1.00126,0.0204616,0.214994,0,1,0.0058064,1
318,18.6513,1.00126,0.0154064,0.214994,0,1,0.00437187,1
319,18.6551,1.00126,0.0116001,0.214994,0,1,0.00329175,1
320,18.6579,1.00126,0.00873416,0.214994,0,1,0.00247849,1
321,18.6601,1.00126,0.0065763,0.214994,0,1,0.00186616,1
322,18.6617,1.00126,0.00495155,0.214994,0,1,0.0014051,1
323,18.6629,1.00126,0.00372822,0.214994,0,1,0.00105796,1
324,18.6639,1.00126,0.00280713,0.214994,0,1,0.000796579,1
325,18.6646,1.00126,0.0021136,0.214994,0,1,0.000599775,1
326,18.6651,1.00126,0.00159141,0.214994,0,1,0.000451595,1
327,18.6655,1.00126,0.00119824,0.214994,0,1,0.000340024,1
328,18.6658,1.00126,0.0009022,0.214994,0,1,0.000256017,1
329,18.666,1.00126,0.000679302,0.214994,0,1,0.000192766,1
330,18.6662,1.00126,0.000511474,0.214994,0,1,0.000145141,1
331,18.6663,1.00126,0.000385109,0.214994,0,1,0.000109282,1
332,18.6664,1.00126,0.000289964,0.214994,0,1,8.22831e-5,1
333,18.6664,1.00126,0.000218325,0.214994,0,1,6.1954e-5,1
334,18.6665,1.00126,0.000164386,0.214994,0,1,4.66478e-5,1
335,18.6665,1.00126,0.000123773,0.214994,0,1,3.5123e-5,1
336,18.6666,1.00126,9.31933e-5,0.214994,0,1,2.64455e-5,1
337,18.6666,1.00126,7.0169e-5,0.214994,0,1,1.99119e-5,1
338,18.6666,1.00126,5.28331e-5,0.214994,0,1,1.49924e-5,1
