"time","r_11.y","r_22.y","y_11.y","y_22.y","IE_2.y","IE_1.y","IAE_1.y","IAE_2.y"
158,0,1,0.00115965,0.998747,0.64455,-0.429927,12.1678,12.7904
159,0,1,0.000427095,0.999299,0.645605,-0.430776,12.1686,12.7914
160,0,1,-0.000491534,1.0003,0.645802,-0.43072,12.1688,12.7917
161,0,1,-0.000811587,1.00084,0.645168,-0.430001,12.1696,12.7924
162,0,1,-0.000404452,1.00058,0.644399,-0.429346,12.1702,12.7931
163,0,1,0.00024143,0.99991,0.644147,-0.429272,12.1704,12.7934
164,0,1,0.000550825,0.999458,0.644503,-0.429712,12.1708,12.7938
165,0,1,0.000346564,0.999544,0.645046,-0.430197,12.1713,12.7943
166,0,1,-9.38271e-5,0.99998,0.645296,-0.430325,12.1715,12.7946
167,0,1,-0.000362124,1.00034,0.645114,-0.43007,12.1717,12.7947
168,0,1,-0.000278571,1.00034,0.644742,-0.429722,12.1721,12.7951
169,0,1,1.23795e-5,1.00007,0.644522,-0.429583,12.1722,12.7953
170,0,1,0.000229815,0.999799,0.6446,-0.429721,12.1723,12.7954
171,0,1,0.000213663,0.99975,0.644847,-0.429962,12.1726,12.7957
172,0,1,2.79787e-5,0.999914,0.645026,-0.43009,12.1727,12.7958
173,0,1,-0.000139849,1.00011,0.645008,-0.430025,12.1728,12.7959
174,0,1,-0.000157784,1.00018,0.644849,-0.429862,12.1729,12.7961
175,0,1,-4.40068e-5,1.00008,0.64471,-0.429755,12.1731,12.7962
176,0,1,8.05862e-5,0.999944,0.644698,-0.429778,12.1731,12.7962
177,0,1,0.00011272,0.99988,0.644796,-0.429884,12.1732,12.7963
178,0,1,4.6544e-5,0.999928,0.6449,-0.429969,12.1733,12.7964
179,0,1,-4.28903e-5,1.00002,0.644925,-0.429969,12.1733,12.7965
180,0,1,-7.80697e-5,1.00008,0.644867,-0.429902,12.1734,12.7965
181,0,1,-4.23396e-5,1.00006,0.644792,-0.429837,12.1734,12.7966
182,0,1,1.98867e-5,0.999995,0.644764,-0.429827,12.1735,12.7966
183,0,1,5.24272e-5,0.999949,0.644796,-0.429867,12.1735,12.7967
184,0,1,3.5403e-5,0.999954,0.644848,-0.429914,12.1735,12.7967
185,0,1,-6.58038e-6,0.999995,0.644874,-0.429929,12.1736,12.7967
186,0,1,-3.40727e-5,1.00003,0.644859,-0.429906,12.1736,12.7968
187,0,1,-2.79687e-5,1.00003,0.644824,-0.429873,12.1736,12.7968
188,0,1,-5.42916e-7,1.00001,0.644801,-0.429858,12.1736,12.7968
189,0,1,2.13378e-5,0.999982,0.644807,-0.429869,12.1736,12.7968
190,0,1,2.1162e-5,0.999976,0.64483,-0.429893,12.1737,12.7968
191,0,1,3.8846e-6,0.999991,0.644848,-0.429906,12.1737,12.7969
192,0,1,-1.27687e-5,1.00001,0.644848,-0.429901,12.1737,12.7969
193,0,1,-1.5446e-5,1.00002,0.644833,-0.429885,12.1737,12.7969
194,0,1,-5.0285e-6,1.00001,0.644819,-0.429874,12.1737,12.7969
195,0,1,7.18856e-6,0.999995,0.644817,-0.429876,12.1737,12.7969
196,0,1,1.09172e-5,0.999989,0.644826,-0.429886,12.1737,12.7969
197,0,1,4.98963e-6,0.999993,0.644836,-0.429894,12.1737,12.7969
198,0,1,-3.68576e-6,1,0.644839,-0.429895,12.1737,12.7969
199,0,1,-7.48277e-6,1.00001,0.644834,-0.429889,12.1737,12.7969
200,0,1,-4.39047e-6,1.00001,0.644827,-0.429882,12.1737,12.7969
200,1,1,-4.39047e-6,1.00001,0.644827,-0.429882,12.1737,12.7969
200,1,1,-4.39047e-6,1.00001,0.644827,-0.429882,12.1737,12.7969
200,1,0,-4.39047e-6,1.00001,0.644827,-0.429882,12.1737,12.7969
201,1,0,-0.256991,1.36454,-0.601867,0.912117,13.5157,14.0436
202,1,0,0.716502,0.591821,-1.65689,1.72666,14.3303,15.0987
203,1,0,1.69207,-0.513627,-1.67493,1.4806,14.6467,15.3807
204,1,0,1.89267,-0.965883,-0.856968,0.610815,15.5164,16.1986
205,1,0,1.32642,-0.537812,-0.0460348,-0.0415802,16.1688,17.0096
206,1,0,0.619374,0.232346,0.102892,0.00437315,16.3532,17.2332
207,1,0,0.374912,0.646243,-0.386307,0.559048,16.9079,17.7224
208,1,0,0.690091,0.446393,-0.97815,1.06217,17.411,18.3143
209,1,0,1.18751,-0.0714062,-1.17087,1.11748,17.5432,18.5169
210,1,0,1.42451,-0.41838,-0.89547,0.777894,17.8828,18.7923
211,1,0,1.26596,-0.350771,-0.477156,0.404636,18.2561,19.2106
212,1,0,0.926594,-0.0138063,-0.285931,0.307373,18.3698,19.4019
213,1,0,0.720736,0.260811,-0.427126,0.50466,18.5671,19.5436
214,1,0,0.78599,0.264259,-0.713841,0.772428,18.8349,19.8303
215,1,0,1.01034,0.0529162,-0.882096,0.878417,18.9413,19.9985
216,1,0,1.17736,-0.155169,-0.821461,0.772084,19.0476,20.0705
217,1,0,1.16428,-0.192168,-0.630994,0.585883,19.2338,20.261
218,1,0,1.02099,-0.0654456,-0.493296,0.488058,19.3317,20.3987
219,1,0,0.891969,0.0866323,-0.508381,0.538558,19.3849,20.4393
220,1,0,0.878599,0.135357,-0.630692,0.664114,19.5105,20.5616
