"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
189,9.33328,4.66664,1.52425e-12,4.66664,0,1,-7.36367e-12,1
190,9.33328,4.66664,5.73642e-13,4.66664,0,1,-3.13372e-12,1
191,9.33328,4.66664,-3.76966e-13,4.66664,0,1,1.09646e-12,1
192,9.33328,4.66664,-2.20855e-12,4.66664,0,1,3.06133e-12,1
193,9.33328,4.66664,-4.75727e-12,4.66664,0,1,2.66853e-12,1
194,9.33328,4.66664,-4.94965e-12,4.66664,0,1,1.77458e-12,1
195,9.33328,4.66664,-5.14203e-12,4.66664,0,1,8.80629e-13,1
196,9.33328,4.66664,-5.25948e-12,4.66664,0,1,1.7919e-13,1
197,9.33328,4.66664,-5.12626e-12,4.66664,0,1,1.22125e-13,1
198,9.33328,4.66664,-4.99305e-12,4.66664,0,1,6.4615e-14,1
199,9.33328,4.66664,-4.85983e-12,4.66664,0,1,7.54952e-15,1
200,9.33328,4.66664,-4.72662e-12,4.66664,0,1,-4.9738e-14,1
200,9.33328,4.66664,-4.72662e-12,4.66664,1,1,-4.9738e-14,1
200,9.33328,4.66664,-9.9152e-13,4.66664,1,1,-2.85105e-12,1
200,9.33328,4.66664,-9.9152e-13,4.66664,1,0,-2.85105e-12,1
201,10.4422,5.77561,1.10897,3.55767,1,0,-0.0624794,1.06248
202,11.3664,6.69976,2.03312,2.63352,1,0,0.212751,0.787249
203,12.0391,7.3725,2.70586,1.96078,1,0,0.42878,0.57122
204,12.531,7.86431,3.19767,1.46897,1,0,0.578704,0.421296
205,12.896,8.22934,3.5627,1.10394,1,0,0.685543,0.314457
206,13.1693,8.50262,3.83598,0.830656,1,0,0.763989,0.236011
207,13.3746,8.70798,4.04134,0.625302,1,0,0.822489,0.177511
208,13.5291,8.8625,4.19586,0.470784,1,0,0.86639,0.13361
209,13.6455,8.97882,4.31218,0.354465,1,0,0.899409,0.100591
210,13.733,9.06639,4.39975,0.266889,1,0,0.924264,0.0757364
211,13.799,9.13233,4.46569,0.20095,1,0,0.942976,0.0570244
212,13.8486,9.18198,4.51534,0.151303,1,0,0.957064,0.0429357
213,13.886,9.21936,4.55272,0.113922,1,0,0.967672,0.0323279
214,13.9141,9.2475,4.58086,0.0857759,1,0,0.975659,0.0243409
215,13.9353,9.2687,4.60206,0.0645839,1,0,0.981673,0.0183272
216,13.9513,9.28465,4.61801,0.0486276,1,0,0.986201,0.0137992
217,13.9633,9.29667,4.63003,0.0366135,1,0,0.98961,0.0103899
218,13.9724,9.30571,4.63907,0.0275677,1,0,0.992177,0.00782298
219,13.9792,9.31252,4.64588,0.0207568,1,0,0.99411,0.00589021
220,13.9843,9.31765,4.65101,0.0156285,1,0,0.995565,0.00443496
221,13.9882,9.32151,4.65487,0.0117673,1,0,0.996661,0.00333925
222,13.9911,9.32442,4.65778,0.00886005,1,0,0.997486,0.00251424
223,13.9932,9.32661,4.65997,0.00667106,1,0,0.998107,0.00189307
224,13.9949,9.32826,4.66162,0.00502289,1,0,0.998575,0.00142536
225,13.9961,9.3295,4.66286,0.00378192,1,0,0.998927,0.00107321
226,13.9971,9.33043,4.66379,0.00284755,1,0,0.999192,0.000808059
227,13.9978,9.33114,4.6645,0.00214403,1,0,0.999392,0.000608418
228,13.9983,9.33167,4.66503,0.00161432,1,0,0.999542,0.0004581
229,13.9987,9.33206,4.66542,0.00121548,1,0,0.999655,0.000344921
230,13.999,9.33236,4.66572,0.000915181,1,0,0.99974,0.000259704
231,13.9992,9.33259,4.66595,0.000689074,1,0,0.999804,0.000195541
232,13.9994,9.33276,4.66612,0.00051883,1,0,0.999853,0.00014723
233,13.9995,9.33289,4.66625,0.000390647,1,0,0.999889,0.000110855
234,13.9996,9.33299,4.66635,0.000294132,1,0,0.999917,8.34669e-5
235,13.9997,9.33306,4.66642,0.000221463,1,0,0.999937,6.28454e-5
236,13.9998,9.33311,4.66647,0.000166748,1,0,0.999953,4.73186e-5
237,13.9998,9.33315,4.66651,0.000125551,1,0,0.999964,3.5628e-5
238,13.9998,9.33319,4.66655,9.4532e-5,1,0,0.999973,2.68256e-5
239,13.9998,9.33321,4.66657,7.11767e-5,1,0,0.99998,2.0198e-5
240,13.9999,9.33323,4.66659,5.35916e-5,1,0,0.999985,1.52079e-5
241,13.9999,9.33324,4.6666,4.03512e-5,1,0,0.999989,1.14506e-5
242,13.9999,9.33325,4.66661,3.0382e-5,1,0,0.999991,8.6216e-6
243,13.9999,9.33326,4.66662,2.28759e-5,1,0,0.999994,6.49155e-6
244,13.9999,9.33326,4.66662,1.72242e-5,1,0,0.999995,4.88775e-6
245,13.9999,9.33327,4.66663,1.29688e-5,1,0,0.999996,3.68019e-6
246,13.9999,9.33327,4.66663,9.76471e-6,1,0,0.999997,2.77096e-6
247,13.9999,9.33327,4.66663,7.35224e-6,1,0,0.999998,2.08637e-6
248,13.9999,9.33327,4.66663,5.5358e-6,1,0,0.999998,1.57091e-6
249,13.9999,9.33328,4.66664,4.16813e-6,1,0,0.999999,1.1828e-6
250,13.9999,9.33328,4.66664,3.13835e-6,1,0,0.999999,8.90581e-7
251,13.9999,9.33328,4.66664,2.36299e-6,1,0,0.999999,6.70554e-7
252,13.9999,9.33328,4.66664,1.77919e-6,1,0,0.999999,5.04887e-7
253,13.9999,9.33328,4.66664,1.33963e-6,1,0,1,3.8015e-7
254,13.9999,9.33328,4.66664,1.00868e-6,1,0,1,2.86238e-7
255,13.9999,9.33328,4.66664,7.59525e-7,1,0,1,2.15533e-7
256,13.9999,9.33328,4.66664,5.71931e-7,1,0,1,1.62306e-7
257,13.9999,9.33328,4.66664,4.30662e-7,1,0,1,1.2222e-7
258,13.9999,9.33328,4.66664,3.24282e-7,1,0,1,9.20317e-8
259,13.9999,9.33328,4.66664,2.44182e-7,1,0,1,6.9298e-8
260,13.9999,9.33328,4.66664,1.83871e-7,1,0,1,5.21826e-8
261,13.9999,9.33328,4.66664,1.38455e-7,1,0,1,3.92955e-8
262,13.9999,9.33328,4.66664,1.04254e-7,1,0,1,2.95887e-8
263,13.9999,9.33328,4.66664,7.85012e-8,1,0,1,2.22784e-8
264,13.9999,9.33328,4.66664,5.91118e-8,1,0,1,1.67757e-8
265,13.9999,9.33328,4.66664,4.45118e-8,1,0,1,1.26331e-8
266,13.9999,9.33328,4.66664,3.35166e-8,1,0,1,9.51256e-9
267,13.9999,9.33328,4.66664,2.52391e-8,1,0,1,7.16115e-9
268,13.9999,9.33328,4.66664,1.90156e-8,1,0,1,5.38405e-9
269,13.9999,9.33328,4.66664,1.43423e-8,1,0,1,4.04235e-9
270,13.9999,9.33328,4.66664,1.08209e-8,1,0,1,3.03161e-9
271,13.9999,9.33328,4.66664,8.1864e-9,1,0,1,2.27768e-9
272,13.9999,9.33328,4.66664,6.20166e-9,1,0,1,1.73674e-9
273,13.9999,9.33328,4.66664,4.6588e-9,1,0,1,1.39635e-9
274,13.9999,9.33328,4.66664,3.45236e-9,1,0,1,1.12533e-9
275,13.9999,9.33328,4.66664,2.49125e-9,1,0,1,8.21248e-10
276,13.9999,9.33328,4.66664,1.77682e-9,1,0,1,5.76793e-10
277,13.9999,9.33328,4.66664,1.27377e-9,1,0,1,3.79824e-10
278,13.9999,9.33328,4.66664,9.36764e-10,1,0,1,2.67882e-10
279,13.9999,9.33328,4.66664,7.04052e-10,1,0,1,1.93047e-10
280,13.9999,9.33328,4.66664,5.42786e-10,1,0,1,1.45705e-10
281,13.9999,9.33328,4.66664,4.30888e-10,1,0,1,5.755e-11
282,13.9999,9.33328,4.66664,3.543e-10,1,0,1,-1.14539e-11
