"time","r_11.y","r_22.y","y_11.y","y_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
160,1,0,0.996776,0.000173896,20.6455,3.40943,20.6455,0.00497006
161,1,0,0.996866,0.000168052,20.6487,3.4096,20.6487,0.00479909
162,1,0,0.996952,0.000162407,20.6518,3.40977,20.6518,0.00463386
163,1,0,0.997037,0.000156953,20.6548,3.40993,20.6548,0.00447418
164,1,0,0.997119,0.000151683,20.6577,3.41008,20.6577,0.00431986
165,1,0,0.997198,0.00014659,20.6606,3.41023,20.6606,0.00417073
166,1,0,0.997276,0.000141665,20.6633,3.41038,20.6633,0.0040266
167,1,0,0.997351,0.000136906,20.666,3.41052,20.666,0.00388731
168,1,0,0.997424,0.000132303,20.6686,3.41065,20.6686,0.00375271
169,1,0,0.997496,0.000127853,20.6712,3.41078,20.6712,0.00362263
170,1,0,0.997565,0.000123548,20.6736,3.41091,20.6736,0.00349693
171,1,0,0.997632,0.000119387,20.676,3.41103,20.676,0.00337546
172,1,0,0.997697,0.000115361,20.6784,3.41115,20.6784,0.00325809
173,1,0,0.997761,0.000111466,20.6806,3.41126,20.6806,0.00314468
174,1,0,0.997823,0.000107699,20.6828,3.41137,20.6828,0.00303509
175,1,0,0.997883,0.000104054,20.685,3.41147,20.685,0.00292922
176,1,0,0.997941,0.000100529,20.6871,3.41158,20.6871,0.00282693
177,1,0,0.997998,9.71208e-5,20.6891,3.41168,20.6891,0.0027281
178,1,0,0.998053,9.38232e-5,20.6911,3.41177,20.6911,0.00263263
179,1,0,0.998107,9.06322e-5,20.693,3.41186,20.693,0.0025404
180,1,0,0.998159,8.7545e-5,20.6949,3.41195,20.6949,0.00245131
181,1,0,0.99821,8.45586e-5,20.6967,3.41204,20.6967,0.00236526
182,1,0,0.998259,8.16705e-5,20.6984,3.41212,20.6984,0.00228215
183,1,0,0.998307,7.88761e-5,20.7002,3.4122,20.7002,0.00220187
184,1,0,0.998354,7.61752e-5,20.7018,3.41228,20.7018,0.00212435
185,1,0,0.998399,7.35636e-5,20.7035,3.41235,20.7035,0.00204948
186,1,0,0.998443,7.10354e-5,20.705,3.41243,20.705,0.00197718
187,1,0,0.998486,6.85907e-5,20.7066,3.4125,20.7066,0.00190737
188,1,0,0.998528,6.62261e-5,20.7081,3.41256,20.7081,0.00183996
189,1,0,0.998568,6.39396e-5,20.7095,3.41263,20.7095,0.00177488
190,1,0,0.998608,6.17302e-5,20.7109,3.41269,20.7109,0.00171204
191,1,0,0.998646,5.95928e-5,20.7123,3.41275,20.7123,0.00165138
192,1,0,0.998683,5.75273e-5,20.7136,3.41281,20.7136,0.00159282
193,1,0,0.998719,5.55299e-5,20.7149,3.41287,20.7149,0.00153629
194,1,0,0.998755,5.36007e-5,20.7162,3.41292,20.7162,0.00148173
195,1,0,0.998789,5.17339e-5,20.7174,3.41297,20.7174,0.00142906
196,1,0,0.998822,4.99313e-5,20.7186,3.41303,20.7186,0.00137823
197,1,0,0.998854,4.81873e-5,20.7198,3.41307,20.7198,0.00132917
198,1,0,0.998886,4.65029e-5,20.7209,3.41312,20.7209,0.00128182
199,1,0,0.998916,4.48746e-5,20.722,3.41317,20.722,0.00123613
200,1,0,0.998946,4.33008e-5,20.7231,3.41321,20.7231,0.00119205
201,1,0,0.998975,4.17803e-5,20.7241,3.41325,20.7241,0.00114951
202,1,0,0.999003,4.0311e-5,20.7251,3.41329,20.7251,0.00110846
203,1,0,0.999031,3.88926e-5,20.7261,3.41333,20.7261,0.00106886
204,1,0,0.999057,3.75252e-5,20.7271,3.41337,20.7271,0.00103065
205,1,0,0.999083,3.62018e-5,20.728,3.41341,20.728,0.000993785
206,1,0,0.999108,3.49252e-5,20.7289,3.41345,20.7289,0.000958222
207,1,0,0.999133,3.36913e-5,20.7298,3.41348,20.7298,0.000923914
208,1,0,0.999157,3.24992e-5,20.7306,3.41351,20.7306,0.000890818
209,1,0,0.99918,3.13489e-5,20.7315,3.41354,20.7315,0.000858895
210,1,0,0.999202,3.02375e-5,20.7323,3.41358,20.7323,0.000828101
211,1,0,0.999224,2.91647e-5,20.7331,3.4136,20.7331,0.0007984
212,1,0,0.999245,2.81295e-5,20.7338,3.41363,20.7338,0.000769754
213,1,0,0.999266,2.71297e-5,20.7346,3.41366,20.7346,0.000742125
214,1,0,0.999286,2.61647e-5,20.7353,3.41369,20.7353,0.000715478
215,1,0,0.999306,2.52352e-5,20.736,3.41371,20.736,0.000689778
216,1,0,0.999325,2.43361e-5,20.7367,3.41374,20.7367,0.000664992
217,1,0,0.999343,2.34683e-5,20.7374,3.41376,20.7374,0.00064109
218,1,0,0.999361,2.26329e-5,20.738,3.41379,20.738,0.00061804
219,1,0,0.999379,2.18243e-5,20.7386,3.41381,20.7386,0.000595811
220,1,0,0.999396,2.10441e-5,20.7392,3.41383,20.7392,0.000574377
221,1,0,0.999412,2.02916e-5,20.7398,3.41385,20.7398,0.000553709
222,1,0,0.999428,1.95649e-5,20.7404,3.41387,20.7404,0.000533781
223,1,0,0.999444,1.88633e-5,20.741,3.41389,20.741,0.000514567
224,1,0,0.999459,1.81865e-5,20.7415,3.41391,20.7415,0.000496042
225,1,0,0.999474,1.75356e-5,20.7421,3.41393,20.7421,0.000478181
226,1,0,0.999489,1.69082e-5,20.7426,3.41394,20.7426,0.000460959
227,1,0,0.999503,1.63017e-5,20.7431,3.41396,20.7431,0.000444355
228,1,0,0.999516,1.57166e-5,20.7436,3.41398,20.7436,0.000428345
229,1,0,0.999529,1.51515e-5,20.7441,3.41399,20.7441,0.000412911
230,1,0,0.999542,1.46073e-5,20.7445,3.41401,20.7445,0.000398032
231,1,0,0.999555,1.40815e-5,20.745,3.41402,20.745,0.000383688
232,1,0,0.999567,1.35769e-5,20.7454,3.41403,20.7454,0.000369859
233,1,0,0.999579,1.30889e-5,20.7458,3.41405,20.7458,0.000356526
234,1,0,0.99959,1.26179e-5,20.7463,3.41406,20.7463,0.000343673
235,1,0,0.999602,1.21642e-5,20.7467,3.41407,20.7467,0.000331282
236,1,0,0.999613,1.17272e-5,20.7471,3.41408,20.7471,0.000319336
237,1,0,0.999623,1.1306e-5,20.7474,3.4141,20.7474,0.00030782
238,1,0,0.999633,1.08985e-5,20.7478,3.41411,20.7478,0.000296718
239,1,0,0.999643,1.05052e-5,20.7482,3.41412,20.7482,0.000286016
240,1,0,0.999653,1.01275e-5,20.7485,3.41413,20.7485,0.0002757
241,1,0,0.999663,9.76278e-6,20.7489,3.41414,20.7489,0.000265754
242,1,0,0.999672,9.41151e-6,20.7492,3.41415,20.7492,0.000256167
243,1,0,0.999681,9.07112e-6,20.7495,3.41416,20.7495,0.000246926
244,1,0,0.99969,8.74539e-6,20.7498,3.41417,20.7498,0.000238018
245,1,0,0.999698,8.42992e-6,20.7501,3.41417,20.7501,0.000229431
246,1,0,0.999706,8.12667e-6,20.7504,3.41418,20.7504,0.000221153
247,1,0,0.999714,7.83333e-6,20.7507,3.41419,20.7507,0.000213173
248,1,0,0.999722,7.55208e-6,20.751,3.4142,20.751,0.00020548
249,1,0,0.99973,7.2786e-6,20.7513,3.41421,20.7513,0.000198065
250,1,0,0.999737,7.01536e-6,20.7515,3.41421,20.7515,0.000190918
251,1,0,0.999744,6.76159e-6,20.7518,3.41422,20.7518,0.00018403
252,1,0,0.999751,6.51793e-6,20.7521,3.41423,20.7521,0.000177391
253,1,0,0.999758,6.28168e-6,20.7523,3.41423,20.7523,0.000170991
254,1,0,0.999765,6.05535e-6,20.7525,3.41424,20.7525,0.000164823
255,1,0,0.999771,5.83712e-6,20.7528,3.41424,20.7528,0.000158877
256,1,0,0.999777,5.62545e-6,20.753,3.41425,20.753,0.000153146
257,1,0,0.999784,5.42567e-6,20.7532,3.41426,20.7532,0.00014762
258,1,0,0.999789,5.23151e-6,20.7534,3.41426,20.7534,0.000142292
259,1,0,0.999795,5.04374e-6,20.7536,3.41427,20.7536,0.000137155
260,1,0,0.999801,4.86124e-6,20.7538,3.41427,20.7538,0.000132203
261,1,0,0.999806,4.68675e-6,20.754,3.41428,20.754,0.000127429
262,1,0,0.999812,4.5194e-6,20.7542,3.41428,20.7542,0.000122826
263,1,0,0.999817,4.35427e-6,20.7544,3.41428,20.7544,0.000118389
264,1,0,0.999822,4.19607e-6,20.7546,3.41429,20.7546,0.000114114
265,1,0,0.999827,4.04268e-6,20.7548,3.41429,20.7548,0.000109995
266,1,0,0.999831,3.89499e-6,20.7549,3.4143,20.7549,0.000106027
267,1,0,0.999836,3.75567e-6,20.7551,3.4143,20.7551,0.000102202
268,1,0,0.99984,3.62081e-6,20.7553,3.4143,20.7553,9.85138e-5
269,1,0,0.999845,3.49064e-6,20.7554,3.41431,20.7554,9.49581e-5
270,1,0,0.999849,3.36558e-6,20.7556,3.41431,20.7556,9.153e-5
271,1,0,0.999853,3.24346e-6,20.7557,3.41432,20.7557,8.82254e-5
272,1,0,0.999857,3.12597e-6,20.7559,3.41432,20.7559,8.5041e-5
273,1,0,0.999861,3.01244e-6,20.756,3.41432,20.756,8.1972e-5
274,1,0,0.999865,2.90366e-6,20.7562,3.41432,20.7562,7.90141e-5
275,1,0,0.999868,2.79817e-6,20.7563,3.41433,20.7563,7.61632e-5
276,1,0,0.999872,2.69683e-6,20.7564,3.41433,20.7564,7.3416e-5
277,1,0,0.999876,2.59915e-6,20.7565,3.41433,20.7565,7.07681e-5
278,1,0,0.999879,2.50621e-6,20.7567,3.41434,20.7567,6.82158e-5
279,1,0,0.999882,2.41794e-6,20.7568,3.41434,20.7568,6.57537e-5
280,1,0,0.999885,2.3307e-6,20.7569,3.41434,20.7569,6.33794e-5
281,1,0,0.999889,2.24727e-6,20.757,3.41434,20.757,6.10907e-5
282,1,0,0.999892,2.16594e-6,20.7571,3.41434,20.7571,5.8884e-5
283,1,0,0.999895,2.08727e-6,20.7572,3.41435,20.7572,5.67576e-5
284,1,0,0.999897,2.01143e-6,20.7573,3.41435,20.7573,5.47084e-5
285,1,0,0.9999,1.93758e-6,20.7574,3.41435,20.7574,5.27343e-5
286,1,0,0.999903,1.86747e-6,20.7575,3.41435,20.7575,5.08321e-5
287,1,0,0.999906,1.80027e-6,20.7576,3.41435,20.7576,4.89985e-5
288,1,0,0.999908,1.73705e-6,20.7577,3.41436,20.7577,4.72301e-5
289,1,0,0.999911,1.67662e-6,20.7578,3.41436,20.7578,4.55235e-5
290,1,0,0.999913,1.61826e-6,20.7579,3.41436,20.7579,4.38762e-5
291,1,0,0.999916,1.56019e-6,20.758,3.41436,20.758,4.22872e-5
292,1,0,0.999918,1.50296e-6,20.7581,3.41436,20.7581,4.07558e-5
293,1,0,0.99992,1.44784e-6,20.7582,3.41436,20.7582,3.92805e-5
294,1,0,0.999922,1.39484e-6,20.7582,3.41437,20.7582,3.78594e-5
295,1,0,0.999924,1.34347e-6,20.7583,3.41437,20.7583,3.64903e-5
296,1,0,0.999926,1.29487e-6,20.7584,3.41437,20.7584,3.51711e-5
297,1,0,0.999928,1.24761e-6,20.7585,3.41437,20.7585,3.38998e-5
298,1,0,0.99993,1.20257e-6,20.7585,3.41437,20.7585,3.26748e-5
299,1,0,0.999932,1.1598e-6,20.7586,3.41437,20.7586,3.14937e-5
300,1,0,0.999934,1.11777e-6,20.7587,3.41437,20.7587,3.03551e-5
301,1,0,0.999936,1.077e-6,20.7587,3.41437,20.7587,2.92582e-5
302,1,0,0.999938,1.03845e-6,20.7588,3.41438,20.7588,2.82008e-5
303,1,0,0.999939,1.00158e-6,20.7589,3.41438,20.7589,2.71809e-5
304,1,0,0.999941,9.65975e-7,20.7589,3.41438,20.7589,2.61973e-5
305,1,0,0.999943,9.31527e-7,20.759,3.41438,20.759,2.52486e-5
306,1,0,0.999944,8.97222e-7,20.759,3.41438,20.759,2.43343e-5
307,1,0,0.999946,8.64603e-7,20.7591,3.41438,20.7591,2.34537e-5
308,1,0,0.999947,8.32423e-7,20.7591,3.41438,20.7591,2.26054e-5
309,1,0,0.999949,8.01415e-7,20.7592,3.41438,20.7592,2.17886e-5
310,1,0,0.99995,7.72857e-7,20.7592,3.41438,20.7592,2.10017e-5
311,1,0,0.999951,7.44739e-7,20.7593,3.41438,20.7593,2.02429e-5
312,1,0,0.999953,7.20654e-7,20.7593,3.41438,20.7593,1.95103e-5
313,1,0,0.999954,6.9553e-7,20.7594,3.41438,20.7594,1.88022e-5
314,1,0,0.999955,6.70704e-7,20.7594,3.41439,20.7594,1.81192e-5
315,1,0,0.999957,6.45729e-7,20.7595,3.41439,20.7595,1.74612e-5
316,1,0,0.999958,6.2251e-7,20.7595,3.41439,20.7595,1.68271e-5
317,1,0,0.999959,5.99217e-7,20.7596,3.41439,20.7596,1.62164e-5
318,1,0,0.99996,5.78236e-7,20.7596,3.41439,20.7596,1.56279e-5
319,1,0,0.999961,5.5793e-7,20.7596,3.41439,20.7596,1.506e-5
320,1,0,0.999962,5.38316e-7,20.7597,3.41439,20.7597,1.45119e-5
321,1,0,0.999963,5.18922e-7,20.7597,3.41439,20.7597,1.39834e-5
322,1,0,0.999964,5.00947e-7,20.7597,3.41439,20.7597,1.34735e-5
323,1,0,0.999965,4.82674e-7,20.7598,3.41439,20.7598,1.29817e-5
324,1,0,0.999966,4.65174e-7,20.7598,3.41439,20.7598,1.25078e-5
325,1,0,0.999967,4.48066e-7,20.7599,3.41439,20.7599,1.20513e-5
326,1,0,0.999968,4.30889e-7,20.7599,3.41439,20.7599,1.16118e-5
327,1,0,0.999969,4.14972e-7,20.7599,3.41439,20.7599,1.1189e-5
328,1,0,0.99997,4.00673e-7,20.7599,3.41439,20.7599,1.07812e-5
329,1,0,0.99997,3.85752e-7,20.76,3.41439,20.76,1.03882e-5
330,1,0,0.999971,3.71798e-7,20.76,3.41439,20.76,1.00096e-5
331,1,0,0.999972,3.5831e-7,20.76,3.41439,20.76,9.64464e-6
332,1,0,0.999973,3.46188e-7,20.7601,3.41439,20.7601,9.29249e-6
333,1,0,0.999974,3.35748e-7,20.7601,3.41439,20.7601,8.95154e-6
334,1,0,0.999974,3.23149e-7,20.7601,3.41439,20.7601,8.62235e-6
335,1,0,0.999975,3.10934e-7,20.7601,3.4144,20.7601,8.30534e-6
336,1,0,0.999976,2.99481e-7,20.7602,3.4144,20.7602,8.00019e-6
337,1,0,0.999976,2.88236e-7,20.7602,3.4144,20.7602,7.70639e-6
338,1,0,0.999977,2.78869e-7,20.7602,3.4144,20.7602,7.4229e-6
339,1,0,0.999978,2.67881e-7,20.7602,3.4144,20.7602,7.14976e-6
340,1,0,0.999978,2.593e-7,20.7603,3.4144,20.7603,6.88624e-6
341,1,0,0.999979,2.49012e-7,20.7603,3.4144,20.7603,6.63218e-6
342,1,0,0.999979,2.39915e-7,20.7603,3.4144,20.7603,6.38788e-6
343,1,0,0.99998,2.30774e-7,20.7603,3.4144,20.7603,6.15255e-6
344,1,0,0.99998,2.22417e-7,20.7603,3.4144,20.7603,5.92604e-6
345,1,0,0.999981,2.14678e-7,20.7604,3.4144,20.7604,5.70749e-6
346,1,0,0.999982,2.05976e-7,20.7604,3.4144,20.7604,5.49728e-6
347,1,0,0.999982,1.98078e-7,20.7604,3.4144,20.7604,5.29531e-6
348,1,0,0.999983,1.91987e-7,20.7604,3.4144,20.7604,5.10037e-6
349,1,0,0.999983,1.8492e-7,20.7604,3.4144,20.7604,4.91192e-6
350,1,0,0.999983,1.78616e-7,20.7604,3.4144,20.7604,4.73024e-6
351,1,0,0.999984,1.72576e-7,20.7605,3.4144,20.7605,4.55481e-6
352,1,0,0.999984,1.66604e-7,20.7605,3.4144,20.7605,4.38523e-6
353,1,0,0.999985,1.60136e-7,20.7605,3.4144,20.7605,4.22195e-6
