"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
1779,12.0416,11.5179,1.24758e-10,9.87244,0,1,3.29807e-11,1
1780,12.0416,11.5179,9.28634e-11,9.87244,0,1,2.71267e-11,1
1781,12.0416,11.5179,6.09688e-11,9.87244,0,1,2.12728e-11,1
1782,12.0416,11.5179,2.90742e-11,9.87244,0,1,1.54189e-11,1
1783,12.0416,11.5179,-2.82035e-12,9.87244,0,1,9.56494e-12,1
1784,12.0416,11.5179,-3.47149e-11,9.87244,0,1,3.711e-12,1
1785,12.0416,11.5179,-4.42131e-11,9.87244,0,1,-2.14293e-12,1
1786,12.0416,11.5179,-5.2264e-11,9.87244,0,1,-4.33378e-12,1
1787,12.0416,11.5179,-6.03148e-11,9.87244,0,1,-6.2879e-12,1
1788,12.0416,11.5179,-6.83656e-11,9.87244,0,1,-8.24203e-12,1
1789,12.0416,11.5179,-7.64164e-11,9.87244,0,1,-1.01962e-11,1
1790,12.0416,11.5179,-8.44673e-11,9.87244,0,1,-1.21503e-11,1
1791,12.0416,11.5179,-9.25181e-11,9.87244,0,1,-1.41044e-11,1
1792,12.0416,11.5179,-8.7676e-11,9.87244,0,1,-1.60585e-11,1
1793,12.0416,11.5179,-7.39321e-11,9.87244,0,1,-1.54207e-11,1
1794,12.0416,11.5179,-6.01881e-11,9.87244,0,1,-1.29933e-11,1
1795,12.0416,11.5179,-4.64442e-11,9.87244,0,1,-1.05659e-11,1
1796,12.0416,11.5179,-3.27003e-11,9.87244,0,1,-8.13846e-12,1
1797,12.0416,11.5179,-1.89564e-11,9.87244,0,1,-5.71104e-12,1
1798,12.0416,11.5179,-5.21253e-12,9.87244,0,1,-3.28363e-12,1
1799,12.0416,11.5179,6.31589e-12,9.87244,0,1,-8.56215e-13,1
1800,12.0416,11.5179,1.09735e-11,9.87244,0,1,1.21003e-12,1
1800,12.0416,11.5179,1.09735e-11,9.87244,0,1,1.21003e-12,1
1800,12.0416,11.5179,1.09735e-11,9.87244,0,0,1.21003e-12,1
1801,12.0416,12.5179,9.29075e-12,8.87244,0,0,2.15622e-12,1
1802,12.0416,13.5179,7.2576e-12,7.87244,0,0,1.91888e-12,1
1803,12.0416,14.5179,5.49205e-12,6.87244,0,0,1.60709e-12,1
1804,12.0416,15.4778,4.02518e-12,5.91256,0,0,1.32665e-12,0.919774
1805,12.0416,16.3567,2.81913e-12,5.0336,0,0,1.08543e-12,0.838135
1806,12.0416,17.1534,1.83667e-12,4.23695,0,0,8.79468e-13,0.755177
1807,12.0416,17.8681,1.04468e-12,3.52226,0,0,7.0451e-13,0.674197
1808,12.0416,18.5045,4.14091e-13,2.88585,0,0,5.56664e-13,0.598621
1809,12.0416,19.0682,-8.04544e-14,2.32217,0,0,4.32426e-13,0.528743
1810,12.0416,19.5649,-4.60998e-13,1.82544,0,0,3.28661e-13,0.464717
1811,12.0416,20.0005,-7.46619e-13,1.38988,0,0,2.42581e-13,0.40641
1812,12.0416,20.3804,-9.53766e-13,1.00991,0,0,1.71714e-13,0.353525
1813,12.0416,20.7101,-1.09656e-12,0.680282,0,0,1.13874e-13,0.305729
1814,12.0416,20.9943,-1.18707e-12,0.396082,0,0,6.71405e-14,0.262672
1815,12.0416,21.2376,-1.23555e-12,0.152743,0,0,2.98279e-14,0.224005
1816,12.0416,21.4443,-1.2507e-12,-0.053955,0,0,4.65393e-16,0.18939
1817,12.0416,21.6182,-1.23982e-12,-0.2279,0,0,-2.22268e-14,0.158501
1818,12.0416,21.763,-1.20903e-12,-0.372667,0,0,-3.93573e-14,0.131032
1819,12.0416,21.8819,-1.16341e-12,-0.49153,0,0,-5.18827e-14,0.106693
1820,12.0416,21.9778,-1.10715e-12,-0.587481,0,0,-6.06251e-14,0.0852097
1821,12.0416,22.0536,-1.0437e-12,-0.66325,0,0,-6.62875e-14,0.0663271
1822,12.0416,22.1117,-9.75818e-13,-0.721316,0,0,-6.94686e-14,0.049806
1823,12.0416,22.1543,-9.05746e-13,-0.763931,0,0,-7.06754e-14,0.035424
1824,12.0416,22.1835,-8.35241e-13,-0.79313,0,0,-7.03353e-14,0.0229744
1825,12.0416,22.2011,-7.6567e-13,-0.81075,0,0,-6.88064e-14,0.0122655
1826,12.0416,22.2088,-6.98073e-13,-0.818443,0,0,-6.63864e-14,0.00312036
1827,12.0416,22.2108,-6.33219e-13,-0.817691,0,0,-6.33216e-14,-0.00462432
1828,12.0416,22.2187,-5.71652e-13,-0.80982,0,0,-5.9814e-14,-0.0111187
1829,12.0416,22.2325,-5.13731e-13,-0.79601,0,0,-5.60273e-14,-0.0165005
1830,12.0416,22.2512,-4.59671e-13,-0.777312,0,0,-5.20932e-14,-0.0208958
1831,12.0416,22.2738,-4.09566e-13,-0.754654,0,0,-4.81161e-14,-0.0244199
1832,12.0416,22.2996,-3.63419e-13,-0.728856,0,0,-4.41774e-14,-0.0271775
1833,12.0416,22.3278,-3.21161e-13,-0.700635,0,0,-4.03392e-14,-0.0292639
1834,12.0416,22.3579,-2.82667e-13,-0.67062,0,0,-3.66477e-14,-0.0307656
1835,12.0416,22.3891,-2.47775e-13,-0.639357,0,0,-3.31362e-14,-0.0317604
1836,12.0416,22.4212,-2.16294e-13,-0.607318,0,0,-2.98268e-14,-0.0323188
1837,12.0416,22.4536,-1.88014e-13,-0.574906,0,0,-2.67331e-14,-0.032504
1838,12.0416,22.486,-1.62716e-13,-0.542468,0,0,-2.38619e-14,-0.0323726
1839,12.0416,22.5182,-1.40178e-13,-0.510294,0,0,-2.12141e-14,-0.0319751
1840,12.0416,22.5499,-1.20178e-13,-0.478628,0,0,-1.87867e-14,-0.0313568
1841,12.0416,22.5808,-1.02498e-13,-0.447671,0,0,-1.65731e-14,-0.0305575
1842,12.0416,22.6109,-8.69289e-14,-0.417586,0,0,-1.45647e-14,-0.0296126
1843,12.0416,22.64,-7.32711e-14,-0.388503,0,0,-1.27509e-14,-0.0285531
1844,12.0416,22.668,-6.13356e-14,-0.360523,0,0,-1.11201e-14,-0.0274064
1845,12.0416,22.6948,-5.09455e-14,-0.333722,0,0,-9.65999e-15,-0.0261962
1846,12.0416,22.7203,-4.19364e-14,-0.308152,0,0,-8.3581e-15,-0.0249431
1847,12.0416,22.7446,-3.41558e-14,-0.283848,0,0,-7.20187e-15,-0.0236649
1848,12.0416,22.7677,-2.74642e-14,-0.260827,0,0,-6.17886e-15,-0.0223769
1849,12.0416,22.7894,-2.17353e-14,-0.239093,0,0,-5.27719e-15,-0.021092
1850,12.0416,22.8098,-1.68534e-14,-0.218637,0,0,-4.48562e-15,-0.019821
1851,12.0416,22.829,-1.27136e-14,-0.199439,0,0,-3.79339e-15,-0.0185731
1852,12.0416,22.847,-9.22127e-15,-0.181475,0,0,-3.19037e-15,-0.0173557
1853,12.0416,22.8638,-6.29252e-15,-0.16471,0,0,-2.66704e-15,-0.0161748
1854,12.0416,22.8794,-3.85161e-15,-0.149105,0,0,-2.21478e-15,-0.0150352
1855,12.0416,22.8939,-1.83141e-15,-0.134617,0,0,-1.82554e-15,-0.0139404
1856,12.0416,22.9073,-1.72451e-16,-0.1212,0,0,-1.49196e-15,-0.0128932
1857,12.0416,22.9197,1.17721e-15,-0.108806,0,0,-1.20736e-15,-0.0118955
1858,12.0416,22.9311,2.26384e-15,-0.0973838,0,0,-9.65789e-16,-0.0109482
1859,12.0416,22.9416,3.12767e-15,-0.0868837,0,0,-7.61771e-16,-0.010052
1860,12.0416,22.9512,3.80381e-15,-0.0772543,0,0,-5.90442e-16,-0.0092068
1861,12.0416,22.96,4.32278e-15,-0.0684448,0,0,-4.47455e-16,-0.00841208
1862,12.0416,22.9681,4.711e-15,-0.0604053,0,0,-3.2894e-16,-0.007667
1863,12.0416,22.9754,4.9912e-15,-0.0530866,0,0,-2.31457e-16,-0.00697042
1864,12.0416,22.982,5.18294e-15,-0.0464409,0,0,-1.51984e-16,-0.00632093
1865,12.0416,22.9881,5.30286e-15,-0.040422,0,0,-8.78508e-17,-0.00571692
1866,12.0416,22.9935,5.36516e-15,-0.0349852,0,0,-3.67233e-17,-0.00515663
1867,12.0416,22.9984,5.38181e-15,-0.0300878,0,0,3.43727e-18,-0.0046382
1868,12.0416,23.0028,5.3629e-15,-0.0256888,0,0,3.44003e-17,-0.00415967
1869,12.0416,23.0067,5.31685e-15,-0.0217495,0,0,5.77007e-17,-0.00371906
1870,12.0416,23.0102,5.25067e-15,-0.0182328,0,0,7.4663e-17,-0.00331433
1871,12.0416,23.0134,5.17013e-15,-0.0151039,0,0,8.64223e-17,-0.00294348
1872,12.0416,23.0161,5.07994e-15,-0.0123299,0,0,9.39509e-17,-0.00260448
1873,12.0416,23.0186,4.98393e-15,-0.00987997,0,0,9.80757e-17,-0.00229537
1874,12.0416,23.0208,4.88514e-15,-0.00772518,0,0,9.94964e-17,-0.00201422
1875,12.0416,23.0226,4.78599e-15,-0.0058385,0,0,9.88029e-17,-0.00175914
1876,12.0416,23.0243,4.68835e-15,-0.00419477,0,0,9.64886e-17,-0.00152832
