"time","y_11.y","y_22.y","u_11.y","u_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
152,1.00005,0.000198503,0.156936,0.0533986,6.95678,16.5181,1.85124,-0.0470886
153,1.00005,0.000184666,0.156933,0.0534027,6.95683,16.5183,1.85119,-0.0472801
154,1.00005,0.000170774,0.156935,0.0534032,6.95688,16.5184,1.85114,-0.0474579
155,1.00004,0.000156582,0.156942,0.0534008,6.95692,16.5186,1.8511,-0.0476215
156,1.00003,0.000142305,0.15695,0.0533976,6.95695,16.5188,1.85107,-0.047771
157,1.00002,0.000128462,0.156956,0.0533958,6.95697,16.5189,1.85105,-0.0479064
158,1.00001,0.000115595,0.156959,0.0533965,6.95699,16.519,1.85103,-0.0480284
159,1.00002,0.000103985,0.156958,0.0533994,6.95701,16.5191,1.85102,-0.0481382
160,1.00002,9.35514e-5,0.156955,0.053403,6.95703,16.5192,1.851,-0.048237
161,1.00002,8.39342e-5,0.156953,0.0534058,6.95705,16.5193,1.85098,-0.0483257
162,1.00002,7.47198e-5,0.156953,0.0534066,6.95707,16.5194,1.85095,-0.048405
163,1.00002,6.56476e-5,0.156956,0.0534055,6.95709,16.5195,1.85093,-0.0484752
164,1.00001,5.67296e-5,0.156961,0.0534035,6.95711,16.5195,1.85092,-0.0485364
165,1,4.81994e-5,0.156965,0.0534019,6.95711,16.5196,1.85091,-0.0485889
166,1,4.03613e-5,0.156967,0.0534016,6.95712,16.5196,1.85091,-0.0486331
167,1,3.34123e-5,0.156967,0.0534028,6.95712,16.5197,1.8509,-0.04867
168,1,2.73558e-5,0.156966,0.0534047,6.95712,16.5197,1.8509,-0.0487004
169,1.00001,2.20062e-5,0.156964,0.0534064,6.95713,16.5197,1.8509,-0.0487251
170,1.00001,1.71005e-5,0.156964,0.0534071,6.95713,16.5197,1.85089,-0.0487446
171,1,1.24322e-5,0.156965,0.0534067,6.95714,16.5197,1.85089,-0.0487594
172,0.999999,7.93777e-6,0.156968,0.0534055,6.95714,16.5198,1.85088,-0.0487696
173,0.999995,3.70081e-6,0.15697,0.0534043,6.95714,16.5198,1.85089,-0.0487754
174,0.999993,-1.21461e-7,0.156972,0.0534038,6.95715,16.5198,1.85089,-0.0487772
175,0.999993,-3.40032e-6,0.156972,0.0534041,6.95715,16.5198,1.8509,-0.0487754
176,0.999994,-6.10406e-6,0.156972,0.0534051,6.95716,16.5198,1.85091,-0.0487707
177,0.999996,-8.32033e-6,0.156971,0.0534061,6.95717,16.5198,1.85091,-0.0487635
178,0.999996,-1.02033e-5,0.15697,0.0534066,6.95717,16.5198,1.85092,-0.0487542
179,0.999995,-1.18982e-5,0.156971,0.0534065,6.95717,16.5198,1.85092,-0.0487432
180,0.999993,-1.34817e-5,0.156972,0.0534059,6.95718,16.5198,1.85093,-0.0487305
181,0.999991,-1.49368e-5,0.156973,0.0534051,6.95719,16.5198,1.85093,-0.0487163
182,0.99999,-1.619e-5,0.156975,0.0534046,6.9572,16.5198,1.85094,-0.0487007
183,0.999989,-1.71583e-5,0.156975,0.0534046,6.95721,16.5199,1.85095,-0.048684
184,0.99999,-1.78113e-5,0.156975,0.053405,6.95722,16.5199,1.85096,-0.0486665
185,0.999991,-1.81812e-5,0.156974,0.0534056,6.95723,16.5199,1.85097,-0.0486485
186,0.999992,-1.83508e-5,0.156974,0.053406,6.95724,16.5199,1.85098,-0.0486303
187,0.999992,-1.84156e-5,0.156974,0.053406,6.95724,16.5199,1.85099,-0.0486119
188,0.999992,-1.84376e-5,0.156975,0.0534057,6.95725,16.5199,1.851,-0.0485935
