"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","y_11.y","y_22.y","r_11.y","r_22.y"
175,59.6751,38.1455,59.6751,-38.1455,0.903406,0.205804,1,0
176,59.7715,38.3508,59.7715,-38.3508,0.903954,0.204806,1,0
177,59.8672,38.5551,59.8672,-38.5551,0.904495,0.203813,1,0
178,59.9625,38.7584,59.9625,-38.7584,0.905032,0.202822,1,0
179,60.0572,38.9607,60.0572,-38.9607,0.905563,0.201836,1,0
180,60.1513,39.1621,60.1513,-39.1621,0.906089,0.200854,1,0
181,60.245,39.3624,60.245,-39.3624,0.906611,0.199876,1,0
182,60.3381,39.5618,60.3381,-39.5618,0.907127,0.198902,1,0
183,60.4307,39.7602,60.4307,-39.7602,0.907639,0.197931,1,0
184,60.5228,39.9577,60.5228,-39.9577,0.908146,0.196965,1,0
185,60.6145,40.1542,60.6145,-40.1542,0.908649,0.196003,1,0
186,60.7056,40.3497,60.7056,-40.3497,0.909148,0.195044,1,0
187,60.7962,40.5443,60.7962,-40.5443,0.909642,0.19409,1,0
188,60.8863,40.7379,60.8863,-40.7379,0.910132,0.19314,1,0
189,60.9759,40.9305,60.9759,-40.9305,0.910618,0.192194,1,0
190,61.065,41.1223,61.065,-41.1223,0.9111,0.191252,1,0
191,61.1537,41.3131,61.1537,-41.3131,0.911578,0.190314,1,0
192,61.2419,41.5029,61.2419,-41.5029,0.912052,0.18938,1,0
193,61.3296,41.6918,61.3296,-41.6918,0.912522,0.188451,1,0
194,61.4168,41.8798,61.4168,-41.8798,0.912989,0.187525,1,0
195,61.5036,42.0669,61.5036,-42.0669,0.913452,0.186604,1,0
196,61.5899,42.253,61.5899,-42.253,0.913912,0.185686,1,0
197,61.6758,42.4382,61.6758,-42.4382,0.914368,0.184773,1,0
198,61.7612,42.6226,61.7612,-42.6226,0.91482,0.183864,1,0
199,61.8462,42.806,61.8462,-42.806,0.91527,0.182958,1,0
200,61.9307,42.9885,61.9307,-42.9885,0.915716,0.182057,1,0
201,62.0147,43.1701,62.0147,-43.1701,0.916159,0.18116,1,0
202,62.0984,43.3508,62.0984,-43.3508,0.916598,0.180267,1,0
203,62.1815,43.5306,62.1815,-43.5306,0.917035,0.179379,1,0
204,62.2643,43.7096,62.2643,-43.7096,0.917468,0.178494,1,0
205,62.3466,43.8876,62.3466,-43.8876,0.917899,0.177613,1,0
206,62.4285,44.0648,62.4285,-44.0648,0.918326,0.176737,1,0
207,62.5099,44.2411,62.5099,-44.2411,0.918751,0.175864,1,0
208,62.591,44.4165,62.591,-44.4165,0.919172,0.174996,1,0
209,62.6716,44.5911,62.6716,-44.5911,0.919591,0.174131,1,0
210,62.7518,44.7648,62.7518,-44.7648,0.920007,0.173271,1,0
211,62.8316,44.9376,62.8316,-44.9376,0.920421,0.172414,1,0
212,62.911,45.1096,62.911,-45.1096,0.920832,0.171562,1,0
